Case Number,Business Address,Parcel Number,Business Name,Owner Name,License Issued Date,License Type,License Description,Business Description,Location
BUS2009-00050,1001 BRUSH (AKA) 330 MONROE,,PALACE PLAZA,A&K LIQUOR,08/17/2017,NLNL,Cigarette - Retail,Corporation,
BUS2009-00050,1001 BRUSH (AKA) 330 MONROE,,PALACE PLAZA,A&K LIQUOR,08/22/2016,NLNL,Cigarette - Retail,Corporation,
BUS2009-00050,1001 BRUSH (AKA) 330 MONROE,,PALACE PLAZA,A&K LIQUOR,08/31/2015,NLNL,Cigarette - Retail,Corporation,
BUS2009-00044,15761 SORRENTO,22024111.,SESSION & SON LLC,JAMES SESSION,04/05/2017,,Motor Truck Permit(s),Corporation,"location
(42.40676, -83.17301)"
BUS2009-00044,15761 SORRENTO,22024111.,SESSION & SON LLC,JAMES SESSION,04/03/2018,,Motor Truck Permit(s),Corporation,"location
(42.40676, -83.17301)"
BUS2009-00044,15761 SORRENTO,22024111.,SESSION & SON LLC,JAMES SESSION,12/18/2015,,Motor Truck Permit(s),Corporation,"location
(42.40676, -83.17301)"
BUS2009-00047,14730 GRATIOT,21028513-4,"BIG D AUTO  AUTO SALES, LLC","BIG D AUTO SALES, LLC",11/15/2017,Renewal,Used Auto Dealer,Corporation,"location
(42.44062, -82.97345)"
BUS2009-00047,14730 GRATIOT,21028513-4,"BIG D AUTO  AUTO SALES, LLC","BIG D AUTO SALES, LLC",12/10/2015,Renewal,Used Auto Dealer,Corporation,"location
(42.44062, -82.97345)"
BUS2009-00047,14730 GRATIOT,21028513-4,"BIG D AUTO  AUTO SALES, LLC","BIG D AUTO SALES, LLC",03/26/2015,Renewal,Used Auto Dealer,Corporation,"location
(42.44062, -82.97345)"
BUS2009-00047,14730 GRATIOT,21028513-4,"BIG D AUTO  AUTO SALES, LLC","BIG D AUTO SALES, LLC",12/08/2016,Renewal,Used Auto Dealer,Corporation,"location
(42.44062, -82.97345)"
BUS2009-00032,5815 TIREMAN,16002010-13,"TIREMAN SERVICES, INC","TIREMAN SERVICES, INC",09/24/2015,Renewal,Cigarette - Retail,Corporation,"location
(42.35169, -83.12848)"
BUS2009-00032,5815 TIREMAN,16002010-13,"TIREMAN SERVICES, INC","TIREMAN SERVICES, INC",09/24/2015,Renewal,Gas Station (Self Service),Corporation,"location
(42.35169, -83.12848)"
BUS2009-00030,18245 W EIGHT MILE,22018892-4,"NORTHLAND PARTY STORE, INC.",NORTHLAND PARTY STORE INC.,08/22/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.44408, -83.22184)"
BUS2009-00030,18245 W EIGHT MILE,22018892-4,"NORTHLAND PARTY STORE, INC.",NORTHLAND PARTY STORE INC.,10/22/2018,New Owner,Cigarette - Retail,Corporation,"location
(42.44408, -83.22184)"
BUS2009-00030,18245 W EIGHT MILE,22018892-4,"NORTHLAND PARTY STORE, INC.",NORTHLAND PARTY STORE INC.,02/18/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.44408, -83.22184)"
BUS2009-00043,500 REN CEN,,"GOURMET DELI REN CEN, INC. ","GOURMET DELI REN CEN, INC.",05/11/2018,Renewal,Restaurant - Carry Out (31-50 seats),Corporation,"location
(42.47222, -82.94846)"
BUS2009-00043,500 REN CEN,,"GOURMET DELI REN CEN, INC. ","GOURMET DELI REN CEN, INC.",08/08/2017,Renewal,Restaurant - Carry Out (31-50 seats),Corporation,"location
(42.47222, -82.94846)"
BUS2009-00049,9000 HAYES,21004375-6,ASHLEY'S MARKET,"TOBYA, INC",08/24/2017,New Owner,Cigarette - Retail,,"location
(42.4051, -82.96392)"
BUS2009-00049,9000 HAYES,21004375-6,ASHLEY'S MARKET,"TOBYA, INC",09/14/2015,New Owner,Cigarette - Retail,,"location
(42.4051, -82.96392)"
BUS2009-00049,9000 HAYES,21004375-6,ASHLEY'S MARKET,"TOBYA, INC",08/09/2016,New Owner,Cigarette - Retail,,"location
(42.4051, -82.96392)"
BUS2009-00051,1404 E JEFFERSON,07000082.,AMORIS MARKET INC,AMORIS MARKET INC,09/21/2016,NLNL,Cigarette - Retail,Corporation,"location
(42.3336, -83.03184)"
BUS2009-00051,1404 E JEFFERSON,07000082.,AMORIS MARKET INC,AMORIS MARKET INC,09/29/2015,NLNL,Cigarette - Retail,Corporation,"location
(42.3336, -83.03184)"
BUS2009-00051,1404 E JEFFERSON,07000082.,AMORIS MARKET INC,AMORIS MARKET INC,08/22/2017,NLNL,Cigarette - Retail,Corporation,"location
(42.3336, -83.03184)"
BUS2009-00027,15378 WYOMING,16037465-9,JIMS FILL UP INC.,JIMS FILL UP INC.,08/18/2017,NLNL,Gas Station (Self Service),Corporation,"location
(42.40387, -83.15939)"
BUS2009-00027,15378 WYOMING,16037465-9,JIMS FILL UP INC.,JIMS FILL UP INC.,10/18/2018,NLNL,Restaurant - Fast Food (No Seats),Corporation,"location
(42.40387, -83.15939)"
BUS2009-00027,15378 WYOMING,16037465-9,JIMS FILL UP INC.,JIMS FILL UP INC.,10/18/2018,NLNL,Cigarette - Retail,Corporation,"location
(42.40387, -83.15939)"
BUS2009-00027,15378 WYOMING,16037465-9,JIMS FILL UP INC.,JIMS FILL UP INC.,10/18/2018,NLNL,Gas Station (Self Service),Corporation,"location
(42.40387, -83.15939)"
BUS2009-00048,14241 W MCNICHOLS,22012842.,VILLAGE LIQUOR AND DELI,VILLIAGE LIQUOR DETROIT INC,08/31/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.41626, -83.18598)"
BUS2009-00048,14241 W MCNICHOLS,22012842.,VILLAGE LIQUOR AND DELI,VILLIAGE LIQUOR DETROIT INC,08/11/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.41626, -83.18598)"
BUS2009-00035,7447 GRATIOT,17000676.,LITTLE CEASARS PIZZA,4RNB LLC,05/25/2016,New Owner,Restaurant - Carry Out (No Seats),,"location
(42.37526, -83.01714)"
BUS2009-00035,7447 GRATIOT,17000676.,LITTLE CEASARS PIZZA,4RNB LLC,10/19/2015,New Owner,Restaurant - Carry Out (No Seats),,"location
(42.37526, -83.01714)"
BUS2009-00035,7447 GRATIOT,17000676.,LITTLE CEASARS PIZZA,4RNB LLC,12/18/2015,New Owner,Restaurant - Carry Out (No Seats),,"location
(42.37526, -83.01714)"
BUS2009-00089,10644 MORANG,21076444-5,FIRST STOP MARKET LLC,FIRST STOP MARKET LLC,02/22/2016,New Owner,Cigarette - Retail,Limited Liability Co,"location
(42.42249, -82.94041)"
BUS2009-00089,10644 MORANG,21076444-5,FIRST STOP MARKET LLC,FIRST STOP MARKET LLC,09/07/2017,New Owner,Cigarette - Retail,Limited Liability Co,"location
(42.42249, -82.94041)"
BUS2009-00093,6200 PEMBROKE,,SUPERIOR LAWN & SNOW REMOVAL,SUPERIOR LAWN & SNOW REMOVAL,07/07/2015,Renewal,Landscape Gardener,,"location
(42.43889, -83.14157)"
BUS2009-00093,6200 PEMBROKE,,SUPERIOR LAWN & SNOW REMOVAL,SUPERIOR LAWN & SNOW REMOVAL,07/07/2015,Renewal,Landscape Gardner-Plate(s),,"location
(42.43889, -83.14157)"
BUS2009-00055,23740 SEVEN MILE W,,SEVEN-TEL PARTY STORE INC.,SEVEN TEL,08/18/2016,New Owner,Cigarette - Retail,,"location
(42.42934, -83.27446)"
BUS2009-00055,23740 SEVEN MILE W,,SEVEN-TEL PARTY STORE INC.,SEVEN TEL,12/04/2018,New Owner,Cigarette - Retail,,"location
(42.42934, -83.27446)"
BUS2009-00055,23740 SEVEN MILE W,,SEVEN-TEL PARTY STORE INC.,SEVEN TEL,08/19/2015,New Owner,Cigarette - Retail,,"location
(42.42934, -83.27446)"
BUS2009-00055,23740 SEVEN MILE W,,SEVEN-TEL PARTY STORE INC.,SEVEN TEL,08/21/2015,New Owner,Cigarette - Retail,,"location
(42.42934, -83.27446)"
BUS2009-00055,23740 SEVEN MILE W,,SEVEN-TEL PARTY STORE INC.,SEVEN TEL,08/11/2017,New Owner,Cigarette - Retail,,"location
(42.42934, -83.27446)"
BUS2009-00087,19661 ALGONAC,17015712.,KWIK SNOW AND LAWN SERVICE,KWIK SNOW LAWN,05/26/2018,New Owner,Junk Truck/Wagon/Cart-Plate,,"location
(42.43944, -83.01052)"
BUS2009-00087,19661 ALGONAC,17015712.,KWIK SNOW AND LAWN SERVICE,KWIK SNOW LAWN,05/26/2018,New Owner,Junk Collector Button,,"location
(42.43944, -83.01052)"
BUS2009-00087,19661 ALGONAC,17015712.,KWIK SNOW AND LAWN SERVICE,KWIK SNOW LAWN,05/26/2018,New Owner,Landscape Gardner-Plate(s),,"location
(42.43944, -83.01052)"
BUS2009-00090,2208 CASS,02000439.,BOOKIES BAR & GRILL,LAMBRECHT JERANT INC.,05/05/2017,NLNL,Bar Class C (101-150 seats),Corporation,"location
(42.33687, -83.05549)"
BUS2009-00090,2208 CASS,02000439.,BOOKIES BAR & GRILL,LAMBRECHT JERANT INC.,04/07/2016,NLNL,Bar Class C (101-150 seats),Corporation,"location
(42.33687, -83.05549)"
BUS2009-00052,2699 W GRAND BLVD,20014531.,BOULEVARD MARKET PLACE,BOULEVARD MARKET PLACE INC,10/23/2018,NLNL,Cigarette - Retail,Corporation,"location
(42.39378, -83.12471)"
BUS2009-00052,2699 W GRAND BLVD,20014531.,BOULEVARD MARKET PLACE,BOULEVARD MARKET PLACE INC,08/16/2016,NLNL,Cigarette - Retail,Corporation,"location
(42.39378, -83.12471)"
BUS2009-00052,2699 W GRAND BLVD,20014531.,BOULEVARD MARKET PLACE,BOULEVARD MARKET PLACE INC,08/11/2015,NLNL,Cigarette - Retail,Corporation,"location
(42.39378, -83.12471)"
BUS2009-00052,2699 W GRAND BLVD,20014531.,BOULEVARD MARKET PLACE,BOULEVARD MARKET PLACE INC,08/28/2017,NLNL,Cigarette - Retail,Corporation,"location
(42.39378, -83.12471)"
BUS2009-00056,15690 JOY RD,22003044.004,GREENFIELD & JOY INC.,US QUALITY FOOD SUPER MARKET,08/30/2016,New Owner,Cigarette - Retail,,"location
(42.35925, -83.19928)"
BUS2009-00056,15690 JOY RD,22003044.004,GREENFIELD & JOY INC.,US QUALITY FOOD SUPER MARKET,08/17/2017,New Owner,Cigarette - Retail,,"location
(42.35925, -83.19928)"
BUS2009-00057,8700 SCHAEFER,,"DIANE'S PARTY STORE, INC.","DIANE'S PARTY STORE, INC.",08/25/2017,New Owner,Cigarette - Retail,,"location
(42.35827, -83.17705)"
BUS2009-00057,8700 SCHAEFER,,"DIANE'S PARTY STORE, INC.","DIANE'S PARTY STORE, INC.",08/19/2015,New Owner,Cigarette - Retail,,"location
(42.35827, -83.17705)"
BUS2009-00057,8700 SCHAEFER,,"DIANE'S PARTY STORE, INC.","DIANE'S PARTY STORE, INC.",08/30/2016,New Owner,Cigarette - Retail,,"location
(42.35827, -83.17705)"
BUS2009-00058,18000 LIVERNOIS,02004327-41,"LIVERNOIS INVESTMENT, INC.",SAVON FOODS SUPERMARKET,02/03/2017,New Owner,Cigarette - Retail,,"location
(42.42301, -83.14071)"
BUS2009-00058,18000 LIVERNOIS,02004327-41,"LIVERNOIS INVESTMENT, INC.",SAVON FOODS SUPERMARKET,09/01/2017,New Owner,Cigarette - Retail,,"location
(42.42301, -83.14071)"
BUS2009-00058,18000 LIVERNOIS,02004327-41,"LIVERNOIS INVESTMENT, INC.",SAVON FOODS SUPERMARKET,11/29/2018,New Owner,Cigarette - Retail,,"location
(42.42301, -83.14071)"
BUS2009-00066,14300 GRATIOT,22114120.,VIP CONEY ISLAND INC.,VIP CONEY ISLAND INC.,02/09/2015,New Owner,Restaurant - Fast Food (1-30 seats),,"location
(42.43517, -82.97755)"
BUS2009-00066,14300 GRATIOT,22114120.,VIP CONEY ISLAND INC.,VIP CONEY ISLAND INC.,04/27/2016,New Owner,Restaurant - Fast Food (1-30 seats),,"location
(42.43517, -82.97755)"
BUS2009-00066,14300 GRATIOT,22114120.,VIP CONEY ISLAND INC.,VIP CONEY ISLAND INC.,05/09/2017,New Owner,Restaurant - Fast Food (1-30 seats),,"location
(42.43517, -82.97755)"
BUS2009-00066,14300 GRATIOT,22114120.,VIP CONEY ISLAND INC.,VIP CONEY ISLAND INC.,02/08/2017,New Owner,Restaurant - Fast Food (1-30 seats),,"location
(42.43517, -82.97755)"
BUS2009-00066,14300 GRATIOT,22114120.,VIP CONEY ISLAND INC.,VIP CONEY ISLAND INC.,04/29/2015,New Owner,Restaurant - Fast Food (1-30 seats),,"location
(42.43517, -82.97755)"
BUS2009-00134,723 RIVER PARK VILLAGE BLVD,,EYE 2 EYE CONTACT,WILLIE TAYLOR,05/06/2016,Renewal,Vendor - Street (Non-Edible Items) Plate,Other,
BUS2009-00134,723 RIVER PARK VILLAGE BLVD,,EYE 2 EYE CONTACT,WILLIE TAYLOR,05/06/2016,Renewal,Vendor - Foot (Button),Other,
BUS2009-00093,6200 PEMBROKE,,SUPERIOR LAWN & SNOW REMOVAL,SUPERIOR LAWN & SNOW REMOVAL,04/03/2018,Renewal,Landscape Gardener,,"location
(42.43889, -83.14157)"
BUS2009-00093,6200 PEMBROKE,,SUPERIOR LAWN & SNOW REMOVAL,SUPERIOR LAWN & SNOW REMOVAL,04/03/2018,Renewal,Landscape Gardner-Plate(s),,"location
(42.43889, -83.14157)"
BUS2009-00123,10425 W MCNICHOLS,16008031-2,LUXOR MARKET,"CLINT INVESTMENTS, INC",08/11/2016,NLNL,Cigarette - Retail,Corporation,"location
(42.41655, -83.16523)"
BUS2009-00123,10425 W MCNICHOLS,16008031-2,LUXOR MARKET,"CLINT INVESTMENTS, INC",08/18/2017,NLNL,Cigarette - Retail,Corporation,"location
(42.41655, -83.16523)"
BUS2009-00123,10425 W MCNICHOLS,16008031-2,LUXOR MARKET,"CLINT INVESTMENTS, INC",02/18/2015,NLNL,Cigarette - Retail,Corporation,"location
(42.41655, -83.16523)"
BUS2009-00115,6025 DREXEL ST.,,BI-RITE TRANSMISSION PARTS,BRYAN SCHWESING,04/17/2018,New Owner,Junk Collector Button,,"location
(42.33089, -83.2751)"
BUS2009-00115,6025 DREXEL ST.,,BI-RITE TRANSMISSION PARTS,BRYAN SCHWESING,04/17/2018,New Owner,Junk Truck/Wagon/Cart-Plate,,"location
(42.33089, -83.2751)"
BUS2009-00115,6025 DREXEL ST.,,BI-RITE TRANSMISSION PARTS,BRYAN SCHWESING,04/03/2018,New Owner,Junk Collector Button,,"location
(42.33089, -83.2751)"
BUS2009-00107,8821 PETER HUNT,19001973.,DAN LANDSCAPING,DAN LANDSCAPING,01/17/2017,New Owner,Landscape Gardener,,"location
(42.39291, -83.01407)"
BUS2009-00107,8821 PETER HUNT,19001973.,DAN LANDSCAPING,DAN LANDSCAPING,01/17/2017,New Owner,Landscape Gardner-Plate(s),,"location
(42.39291, -83.01407)"
BUS2009-00110,6521 GREENFIELD,22051415-20,"BROTHERS HALAL PIZZA, INC","BROTHERS HALAL PIZZA, INC",04/17/2017,Renewal,Restaurant - Carry Out (No Seats),Corporation,"location
(42.33839, -83.19629)"
BUS2009-00110,6521 GREENFIELD,22051415-20,"BROTHERS HALAL PIZZA, INC","BROTHERS HALAL PIZZA, INC",05/25/2016,Renewal,Restaurant - Carry Out (No Seats),Corporation,"location
(42.33839, -83.19629)"
BUS2009-00114,7690 E SEVEN MILE,,M. GEORGE'S CONEY ISLAND GRILL,"M GEORGE'S CONEY ISLAND GRILL, LLC",04/12/2016,New Owner,Restaurant - Carry Out (1-30 seats),Corporation,"location
(42.43389, -83.02538)"
BUS2009-00114,7690 E SEVEN MILE,,M. GEORGE'S CONEY ISLAND GRILL,"M GEORGE'S CONEY ISLAND GRILL, LLC",09/27/2017,New Owner,Restaurant - Carry Out (1-30 seats),Corporation,"location
(42.43389, -83.02538)"
BUS2009-00125,12600 GREENFIELD,22006732-3,GREAT LAKES ELETRONICS CORP.,NATHAN ZACK,02/06/2015,Renewal,Motor Truck Permit(s),Corporation,"location
(42.38058, -83.19691)"
BUS2009-00105,14573 BRAMELL,22117900.,MORRIS FATHER AND SONS,JOHNNIE MORRIS,04/06/2016,,Landscape Gardner-Plate(s),,"location
(42.39407, -83.26443)"
BUS2009-00105,14573 BRAMELL,22117900.,MORRIS FATHER AND SONS,JOHNNIE MORRIS,04/06/2016,,Landscape Gardener,,"location
(42.39407, -83.26443)"
BUS2009-00105,14573 BRAMELL,22117900.,MORRIS FATHER AND SONS,JOHNNIE MORRIS,05/07/2018,,Landscape Gardner-Plate(s),,"location
(42.39407, -83.26443)"
BUS2009-00105,14573 BRAMELL,22117900.,MORRIS FATHER AND SONS,JOHNNIE MORRIS,05/07/2018,,Landscape Gardener,,"location
(42.39407, -83.26443)"
BUS2009-00106,868 WEBB,04003130.,"FRAGRANCES, JEWELRY, SUNGLASSES, WALLETS, BASKETS",DARWIN SULLIVAN,03/01/2017,New Owner,Vendor - Foot (Duplicate Button),,"location
(42.3902, -83.09579)"
BUS2009-00106,868 WEBB,04003130.,"FRAGRANCES, JEWELRY, SUNGLASSES, WALLETS, BASKETS",DARWIN SULLIVAN,03/01/2017,New Owner,Vendor - Foot (Button),,"location
(42.3902, -83.09579)"
BUS2009-00106,868 WEBB,04003130.,"FRAGRANCES, JEWELRY, SUNGLASSES, WALLETS, BASKETS",DARWIN SULLIVAN,05/31/2017,New Owner,Vendor - Foot (Duplicate Button),,"location
(42.3902, -83.09579)"
BUS2009-00106,868 WEBB,04003130.,"FRAGRANCES, JEWELRY, SUNGLASSES, WALLETS, BASKETS",DARWIN SULLIVAN,05/31/2017,New Owner,Vendor - Foot (Button),,"location
(42.3902, -83.09579)"
BUS2009-00106,868 WEBB,04003130.,"FRAGRANCES, JEWELRY, SUNGLASSES, WALLETS, BASKETS",DARWIN SULLIVAN,06/01/2016,New Owner,Vendor - Foot (Duplicate Button),,"location
(42.3902, -83.09579)"
BUS2009-00106,868 WEBB,04003130.,"FRAGRANCES, JEWELRY, SUNGLASSES, WALLETS, BASKETS",DARWIN SULLIVAN,06/01/2016,New Owner,Vendor - Foot (Button),,"location
(42.3902, -83.09579)"
BUS2009-00121,8052 E EIGHT MILE,17005740.004L,LEGEND MANAGEMENT INC,LEGEND MANAGEMENT INC,09/26/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.44798, -83.0239)"
BUS2009-00101,658 FORDSON,04000984.,"ZAY D AUTO SALES, INC","ZAY D AUTO SALES, INC",11/19/2018,New Owner,Used Auto Dealer,Corporation,"location
(42.29128, -83.15492)"
BUS2009-00100,11615- WOODWARD,02001674-5,"UNIVERSITY AUTO REPAIR, INC.",UNIVERSITY AUTO REPAIR INC.,05/12/2015,New Owner,Used Auto Dealer,,"location
(42.392, -83.08801)"
BUS2009-00100,11615- WOODWARD,02001674-5,"UNIVERSITY AUTO REPAIR, INC.",UNIVERSITY AUTO REPAIR INC.,11/13/2015,New Owner,Used Auto Dealer,,"location
(42.392, -83.08801)"
BUS2009-00134,723 RIVER PARK VILLAGE BLVD,,EYE 2 EYE CONTACT,WILLIE TAYLOR,05/18/2018,Renewal,Vendor - Street (Non-Edible Items) Plate,Other,
BUS2009-00134,723 RIVER PARK VILLAGE BLVD,,EYE 2 EYE CONTACT,WILLIE TAYLOR,05/18/2018,Renewal,Vendor - Foot (Button),Other,
BUS2009-00134,723 RIVER PARK VILLAGE BLVD,,EYE 2 EYE CONTACT,WILLIE TAYLOR,05/19/2017,Renewal,Vendor - Street (Non-Edible Items) Plate,Other,
BUS2009-00134,723 RIVER PARK VILLAGE BLVD,,EYE 2 EYE CONTACT,WILLIE TAYLOR,05/19/2017,Renewal,Vendor - Foot (Button),Other,
BUS2009-00134,723 RIVER PARK VILLAGE BLVD,,EYE 2 EYE CONTACT,WILLIE TAYLOR,05/08/2015,Renewal,Vendor - Street (Non-Edible Items) Plate,Other,
BUS2009-00134,723 RIVER PARK VILLAGE BLVD,,EYE 2 EYE CONTACT,WILLIE TAYLOR,05/08/2015,Renewal,Vendor - Foot (Button),Other,
BUS2009-00174,14486 GRATIOT AKA: 14520 GRATIOT,21028543.,"VEHICLE'S FOR CHANGE, INC.",VEHICLES FOR CHANGE,05/04/2015,NLOL,Used Auto Dealer,Corporation,
BUS2009-00174,14486 GRATIOT AKA: 14520 GRATIOT,21028543.,"VEHICLE'S FOR CHANGE, INC.",VEHICLES FOR CHANGE,11/30/2015,NLOL,Used Auto Dealer,Corporation,
BUS2009-00231,SW MONROE & FARMER 20FT W OF FARMER,22025096.,"WOOD CARVING, LEATHER DRUMS, JEWELRY, ETHNIC APPAREL",MBAYE NIANG,05/18/2017,,Vendor - Stationary (Non-Edible Items) Plate,,
BUS2009-00173,22140 W WARREN,,GM AUTO SALES LLC,GM AUTOMOTIVE LLC,08/01/2016,New Owner,Used Auto Dealer,Corporation,"location
(42.34214, -83.25573)"
BUS2009-00173,22140 W WARREN,,GM AUTO SALES LLC,GM AUTOMOTIVE LLC,11/09/2016,New Owner,Used Auto Dealer,Corporation,"location
(42.34214, -83.25573)"
BUS2009-00137,1250 HOWARD,06000116-37,1200 SIXTH ST. LLC,1200 SIXTH ST. LLC,03/28/2017,Renewal,Parking Lot-Plate (301 cars & up),Corporation,"location
(42.32784, -83.06012)"
BUS2009-00194,15755 BEAVERLAND,22118607.,TREE SERVICES AND MORE,ZINNIA PATCAS,02/19/2015,New Owner,Landscape Gardner-Plate(s),Sole Proprietor,"location
(42.40511, -83.26599)"
BUS2009-00194,15755 BEAVERLAND,22118607.,TREE SERVICES AND MORE,ZINNIA PATCAS,02/19/2015,New Owner,Landscape Gardener,Sole Proprietor,"location
(42.40511, -83.26599)"
BUS2009-00194,15755 BEAVERLAND,22118607.,TREE SERVICES AND MORE,ZINNIA PATCAS,01/15/2016,New Owner,Landscape Gardner-Plate(s),Sole Proprietor,"location
(42.40511, -83.26599)"
BUS2009-00179,17700 W SEVEN MILE,22017094-5,TIMMY'S MARKET INC,TIMMY'S MARKET INC,10/18/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.43031, -83.21741)"
BUS2009-00179,17700 W SEVEN MILE,22017094-5,TIMMY'S MARKET INC,TIMMY'S MARKET INC,07/27/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.43031, -83.21741)"
BUS2009-00179,17700 W SEVEN MILE,22017094-5,TIMMY'S MARKET INC,TIMMY'S MARKET INC,07/12/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.43031, -83.21741)"
BUS2009-00179,17700 W SEVEN MILE,22017094-5,TIMMY'S MARKET INC,TIMMY'S MARKET INC,10/31/2018,New Owner,Cigarette - Retail,Corporation,"location
(42.43031, -83.21741)"
BUS2009-00141,1245 ABBOTT,06000116-37,1200 SIXTH ST. LLC,1200 SIXTH ST. LLC,02/19/2015,Renewal,Parking Lot-Plate (201-300 cars),,"location
(42.32819, -83.0604)"
BUS2009-00152,NW WOODWARD & LARNED,,20 FT FROM-NW CRNR-WOODWRD/ LARNED BTWN LARNED & CONGRESS,"GIBBONS, JR DOUGLAS",05/31/2017,Renewal,Vendor - Stationary (Edible Items) Plate,Other,"location
(42.32937, -83.0453)"
BUS2009-00152,NW WOODWARD & LARNED,,20 FT FROM-NW CRNR-WOODWRD/ LARNED BTWN LARNED & CONGRESS,"GIBBONS, JR DOUGLAS",05/14/2015,Renewal,Vendor - Stationary (Edible Items) Plate,Other,"location
(42.32937, -83.0453)"
BUS2009-00152,NW WOODWARD & LARNED,,20 FT FROM-NW CRNR-WOODWRD/ LARNED BTWN LARNED & CONGRESS,"GIBBONS, JR DOUGLAS",05/26/2016,Renewal,Vendor - Stationary (Edible Items) Plate,Other,"location
(42.32937, -83.0453)"
BUS2009-00177,5844 MT ELLIOTT,15014114-6,ROYAL BARBECUE INC,ROYAL BARBECUE INC,04/21/2016,NLOL,Restaurant - Carry Out (No Seats),Corporation,"location
(42.37765, -83.03192)"
BUS2009-00177,5844 MT ELLIOTT,15014114-6,ROYAL BARBECUE INC,ROYAL BARBECUE INC,04/18/2016,NLOL,Restaurant - Carry Out (No Seats),Corporation,"location
(42.37765, -83.03192)"
BUS2009-00177,5844 MT ELLIOTT,15014114-6,ROYAL BARBECUE INC,ROYAL BARBECUE INC,09/14/2017,NLOL,Restaurant - Carry Out (No Seats),Corporation,"location
(42.37765, -83.03192)"
BUS2009-00215,536 SHELBY,03000203.,WAH-HOO,"INTERNATIONAL MARKET PLACE,INC.",04/13/2015,Renewal,Restaurant W/Class C (MLCC) Lic.( 51-100 seats),Corporation,"location
(42.32878, -83.04763)"
BUS2009-00215,536 SHELBY,03000203.,WAH-HOO,"INTERNATIONAL MARKET PLACE,INC.",04/13/2015,Renewal,Cabaret A - W/MLCC /with Dance & Entertainment,Corporation,"location
(42.32878, -83.04763)"
BUS2009-00215,536 SHELBY,03000203.,WAH-HOO,"INTERNATIONAL MARKET PLACE,INC.",05/02/2016,Renewal,Restaurant W/Class C (MLCC) Lic.( 51-100 seats),Corporation,"location
(42.32878, -83.04763)"
BUS2009-00215,536 SHELBY,03000203.,WAH-HOO,"INTERNATIONAL MARKET PLACE,INC.",05/02/2016,Renewal,Cabaret A - W/MLCC /with Dance & Entertainment,Corporation,"location
(42.32878, -83.04763)"
BUS2009-00140,1240 ABBOTT,06000116-37,1200 SIXTH ST. LLC,1200 SIXTH ST. LLC,02/19/2015,Renewal,Parking Lot-Plate (301 cars & up),Limited Liability Co,"location
(42.32878, -83.06092)"
BUS2009-00222,15320 YOUNG,,A&Z BALLOON CO. ADVANCE NOVELTY CO,CHARLES JACOBY,01/19/2016,New Owner,Motor Truck Permit(s),,"location
(42.42394, -82.96369)"
BUS2009-00222,15320 YOUNG,,A&Z BALLOON CO. ADVANCE NOVELTY CO,CHARLES JACOBY,03/25/2015,New Owner,Motor Truck Permit(s),,"location
(42.42394, -82.96369)"
BUS2009-00222,15320 YOUNG,,A&Z BALLOON CO. ADVANCE NOVELTY CO,CHARLES JACOBY,03/06/2018,New Owner,Motor Truck Permit(s),,"location
(42.42394, -82.96369)"
BUS2009-00222,15320 YOUNG,,A&Z BALLOON CO. ADVANCE NOVELTY CO,CHARLES JACOBY,01/10/2017,New Owner,Motor Truck Permit(s),,"location
(42.42394, -82.96369)"
BUS2009-00231,SW MONROE & FARMER 20FT W OF FARMER,22025096.,"WOOD CARVING, LEATHER DRUMS, JEWELRY, ETHNIC APPAREL",MBAYE NIANG,05/07/2018,,Vendor - Stationary (Non-Edible Items) Plate,,
BUS2009-00231,SW MONROE & FARMER 20FT W OF FARMER,22025096.,"WOOD CARVING, LEATHER DRUMS, JEWELRY, ETHNIC APPAREL",MBAYE NIANG,05/07/2018,,Vendor - Stationary (Non-Edible Items) Plate,,
BUS2009-00231,SW MONROE & FARMER 20FT W OF FARMER,22025096.,"WOOD CARVING, LEATHER DRUMS, JEWELRY, ETHNIC APPAREL",MBAYE NIANG,05/16/2016,,Vendor - Stationary (Non-Edible Items) Plate,,
BUS2009-00231,SW MONROE & FARMER 20FT W OF FARMER,22025096.,"WOOD CARVING, LEATHER DRUMS, JEWELRY, ETHNIC APPAREL",MBAYE NIANG,04/21/2015,,Vendor - Stationary (Non-Edible Items) Plate,,
BUS2009-00245,2508 JUNCTION,16012927-9,EL DURANGO BAR,"B.A.S. MANAGEMENT COMPANY, LLC",02/15/2017,NLNL,Fee for dishonored check,Limited Liability Co,"location
(42.32282, -83.10513)"
BUS2009-00245,2508 JUNCTION,16012927-9,EL DURANGO BAR,"B.A.S. MANAGEMENT COMPANY, LLC",02/15/2017,NLNL,Coin-Op Mech. Music Dev.Dist Tag(s),Limited Liability Co,"location
(42.32282, -83.10513)"
